iter	Passed	Remaining
320	80071	168124
321	80329	167893
322	80576	167638
323	80854	167449
324	81123	167239
325	81406	167058
326	81669	166836
327	81969	166687
328	82252	166505
329	82550	166350
330	82800	166101
331	83068	165886
332	83419	165837
333	83687	165621
334	84003	165499
335	84302	165342
336	84613	165209
337	84860	164949
338	85138	164751
339	85407	164535
340	85669	164305
341	85960	164129
342	86198	163853
343	86479	163657
344	86716	163379
345	86938	163071
346	87166	162777
347	87384	162464
348	87648	162237
349	87888	161966
350	88141	161717
351	88354	161396
352	88612	161159
353	88881	160941
354	89154	160729
355	89421	160506
356	89708	160319
357	89997	160134
358	90416	160180
359	90727	160033
360	91039	159886
361	91286	159625
362	91544	159383
363	91811	159157
364	92079	158932
365	92317	158655
366	92615	158481
367	92919	158316
368	93210	158128
369	93479	157903
370	93769	157713
371	94035	157484
372	94255	157176
373	94494	156901
374	94775	156695
375	95024	156436
376	95256	156150
377	95493	155871
378	95715	155569
379	95942	155275
380	96131	154920
381	96371	154648
382	96635	154414
383	96910	154199
384	97149	153925
385	97432	153722
386	97732	153543
387	98010	153330
388	98288	153118
389	98544	152870
390	98785	152599
391	99040	152350
392	99270	152063
393	99629	151973
394	99849	151669
395	100107	151425
396	100417	151258
397	100731	151097
398	100993	150856
399	101231	150581
400	101449	150276
401	101673	149981
402	101928	149731
403	102169	149461
404	102404	149182
405	102605	148853
406	102808	148528
407	103048	148258
408	103314	148024
409	103610	147834
410	103882	147609
411	104167	147402
412	104420	147149
413	104667	146887
414	104979	146718
415	105235	146468
416	105512	146250
417	105797	146041
418	106104	145861
419	106395	145660
420	106687	145460
421	106998	145285
422	107299	145094
423	107547	144833
424	107791	144567
425	108032	144296
426	108266	144017
427	108493	143728
428	108713	143430
429	108921	143117
430	109169	142857
431	109407	142584
432	109680	142356
433	110063	142271
434	110439	142174
435	110760	142007
436	111044	141791
437	111284	141518
438	111511	141230
439	111744	140951
440	111975	140667
441	112204	140382
442	112398	140053
443	112621	139762
444	112847	139474
445	113044	139151
446	113293	138892
447	113570	138667
448	113827	138418
449	114058	138137
450	114294	137863
451	114539	137599
452	114770	137318
453	115036	137081
454	115331	136876
455	115645	136695
456	116146	136732
457	116488	136581
458	116779	136369
459	117087	136177
460	117399	135989
461	117704	135793
462	118017	135605
463	118323	135408
464	118653	135238
465	118993	135080
466	119295	134878
467	119641	134724
468	119943	134521
469	120224	134293
470	120478	134035
471	120750	133797
472	121042	133582
473	121355	133389
474	121675	133202
475	121989	133009
476	122344	132860
477	122649	132656
478	123040	132544
479	123343	132337
480	123681	132167
481	124047	132025
482	124355	131821
483	124622	131574
484	124889	131327
485	125135	131057
486	125381	130787
487	125660	130552
488	125896	130273
489	126176	130039
490	126443	129791
491	126710	129543
492	126971	129289
493	127238	129041
494	127492	128780
495	127804	128577
496	128051	128308
497	128325	128068
498	128572	127799
499	128840	127552
500	129081	127278
501	129368	127049
502	129625	126790
503	129998	126645
504	130240	126371
505	130473	126089
506	130707	125809
507	130937	125525
508	131084	125161
509	131290	124854
510	131531	124581
511	131759	124296
512	131979	124004
513	132190	123703
514	132393	123395
515	132602	123094
516	132809	122791
517	133024	122495
518	133227	122189
519	133427	121880
520	133648	121591
521	133883	121315
522	134106	121029
523	134312	120727
524	134513	120421
525	134688	120093
526	134918	119813
527	135126	119515
528	135354	119235
529	135567	118941
530	135791	118657
531	136005	118365
532	136237	118089
533	136441	117788
534	136621	117468
535	136828	117172
536	137055	116892
537	137232	116570
538	137438	116274
539	137667	115997
540	137893	115718
541	138117	115437
542	138301	115123
543	138514	114834
544	138722	114541
545	138948	114263
546	139171	113983
547	139400	113708
548	139610	113417
549	139824	113130
550	140041	112846
551	140258	112562
552	140492	112292
553	140706	112006
554	140927	111726
555	141144	111443
556	141380	111174
557	141604	110898
558	141812	110608
559	142023	110321
560	142240	110039
561	142467	109765
562	142643	109452
563	142857	109169
564	143075	108889
565	143293	108609
566	143550	108359
567	143765	108077
568	144000	107810
569	144246	107552
570	144520	107314
571	144795	107077
572	145068	106839
573	145282	106557
574	145525	106297
575	145768	106036
576	146013	105777
577	146230	105498
578	146449	105221
579	146724	104984
580	146961	104719
581	147189	104448
582	147407	104171
583	147638	103902
584	147850	103622
585	148017	103309
586	148222	103023
587	148423	102735
588	148648	102464
589	148863	102186
590	149065	101898
591	149280	101621
592	149507	101352
593	149710	101066
594	149948	100805
595	150170	100533
596	150389	100259
597	150614	99990
598	150838	99719
599	151073	99456
600	151273	99171
601	151496	98900
602	151736	98641
603	151963	98374
604	152184	98102
605	152394	97824
606	152626	97560
607	152850	97291
608	153078	97025
609	153328	96772
610	153554	96505
611	153751	96220
612	153978	95953
613	154194	95680
614	154439	95426
615	154634	95140
616	154872	94881
617	155087	94608
618	155291	94329
619	155500	94052
620	155716	93781
621	155931	93508
622	156170	93251
623	156372	92971
624	156581	92696
625	156789	92420
626	157002	92147
627	157214	91875
628	157437	91609
629	157663	91344
630	157899	91086
631	158137	90829
632	158361	90563
633	158595	90304
634	158856	90060
635	159079	89795
636	159297	89526
637	159524	89263
638	159885	89075
639	160132	88823
640	160433	88601
641	160780	88404
642	161052	88165
643	161336	87933
644	161591	87685
645	161882	87456
646	162147	87213
647	162358	86942
648	162581	86676
649	162831	86425
650	163112	86191
651	163398	85959
652	163672	85721
653	163933	85475
654	164202	85234
655	164475	84995
656	164733	84748
657	164981	84496
658	165221	84240
659	165475	83991
660	165737	83746
661	165971	83487
662	166193	83222
663	166443	82971
664	166680	82713
665	166903	82449
666	167157	82200
667	167365	81928
668	167593	81667
669	167819	81405
670	168047	81143
671	168294	80891
672	168518	80628
673	168773	80380
674	169016	80126
675	169222	79854
676	169471	79603
677	170094	79527
678	170548	79371
679	171276	79341
680	171622	79132
681	171958	78919
682	172272	78695
683	172567	78462
684	172916	78254
685	173260	78043
686	173554	77808
687	173882	77589
688	174181	77357
689	174445	77109
690	174707	76861
691	174977	76615
692	175233	76364
693	175508	76120
694	175806	75887
695	176075	75641
696	176356	75400
697	176660	75169
698	176938	74926
699	177209	74681
700	177559	74468
701	177903	74253
702	178198	74016
703	178517	73790
704	178796	73547
705	179077	73304
706	179346	73057
707	179634	72817
708	179916	72575
709	180188	72329
710	180475	72088
711	180758	71846
712	181020	71595
713	181299	71351
714	181555	71098
715	181828	70852
716	182100	70605
717	182346	70348
718	182607	70096
719	182888	69853
720	183177	69612
721	183452	69366
722	183717	69116
723	183997	68872
724	184286	68630
725	184533	68374
726	184806	68126
727	185054	67870
728	185348	67630
729	185611	67379
730	185871	67127
731	186142	66879
732	186385	66620
733	186611	66356
734	186880	66107
735	187132	65852
736	187414	65607
737	187672	65354
738	187967	65114
739	188226	64861
740	188520	64621
741	188864	64397
742	189111	64140
743	189348	63879
744	189618	63630
745	189889	63381
746	190162	63132
747	190424	62880
748	190721	62640
749	190985	62388
750	191246	62136
751	191519	61887
752	191814	61645
753	192071	61391
754	192381	61154
755	192703	60920
756	193059	60697
757	193376	60462
758	193685	60223
759	194001	59987
760	194298	59744
761	194552	59489
762	194819	59237
763	195256	59036
764	195586	58803
765	195850	58550
766	196173	58315
767	196445	58063
768	196734	57817
769	197004	57566
770	197315	57326
771	197601	57079
772	197883	56830
773	198166	56582
774	198495	56347
775	198909	56135
776	199303	55917
777	199619	55677
778	199901	55428
779	200137	55166
780	200386	54907
781	200707	54668
782	200962	54411
783	201175	54142
784	201417	53882
785	201981	53707
786	202418	53498
787	202799	53273
788	203099	53027
789	203338	52764
790	203640	52519
791	204058	52302
792	204351	52054
793	204585	51790
794	204830	51529
795	205080	51270
796	205314	51006
797	205558	50745
798	205908	50510
799	206219	50266
800	206486	50010
801	206755	49755
802	207024	49500
803	207268	49239
804	207510	48977
805	207746	48714
806	207968	48448
807	208215	48188
808	208441	47923
809	208686	47663
810	208923	47400
811	209154	47136
812	209382	46872
813	209639	46615
814	209879	46353
815	210130	46094
816	210389	45837
817	210640	45578
818	210912	45324
819	211180	45069
820	211447	44813
821	211745	44564
822	212031	44312
823	212347	44067
824	212643	43817
825	212872	43553
826	213147	43299
827	213410	43042
828	213663	42784
829	213915	42525
830	214171	42267
831	214405	42004
832	214702	41754
833	214991	41503
834	215257	41247
835	215472	40981
836	215720	40721
837	216003	40468
838	216314	40220
839	216686	39983
840	217000	39736
841	217343	39493
842	217842	39278
843	218206	39039
844	218487	38784
845	218820	38539
846	219121	38288
847	219365	38026
848	219605	37764
849	219862	37505
850	220159	37253
851	220479	37005
852	220894	36772
853	221288	36535
854	221630	36290
855	222149	36073
856	222485	35826
857	222805	35576
858	223217	35340
859	223585	35097
860	223937	34851
861	224350	34615
862	224689	34367
863	224956	34108
864	225323	33863
865	225609	33607
866	225887	33349
867	226155	33089
868	226418	32829
869	226701	32572
870	226958	32310
871	227256	32055
872	227539	31798
873	227800	31537
874	228062	31277
875	228380	31024
876	228672	30767
877	228945	30508
878	229202	30247
879	229467	29987
880	229720	29725
881	230085	29478
882	230538	29241
883	230863	28988
884	231185	28734
885	231459	28475
886	231723	28214
887	231967	27951
888	232240	27691
889	232528	27433
890	232789	27171
891	233055	26911
892	233345	26653
893	233599	26390
894	233857	26129
895	234046	25860
896	234280	25595
897	234511	25331
898	234752	25068
899	234961	24801
900	235174	24535
901	235409	24271
902	235670	24010
903	235903	23746
904	236120	23481
905	236366	23219
906	236590	22954
907	236811	22690
908	237048	22426
909	237264	22162
910	237485	21897
911	237718	21634
912	237956	21371
913	238169	21106
914	238401	20843
915	238626	20580
916	238857	20317
917	239100	20055
918	239287	19788
919	239515	19525
920	239765	19264
921	240107	19010
922	240327	18747
923	240569	18485
924	240810	18223
925	241029	17960
926	241277	17698
927	241481	17434
928	241690	17170
929	241893	16906
930	242076	16641
931	242329	16380
932	242562	16118
933	242829	15859
934	243082	15598
935	243315	15337
936	243534	15074
937	243800	14815
938	244125	14559
939	244398	14299
940	244650	14039
941	244861	13776
942	245102	13515
943	245316	13253
944	245584	12993
945	245872	12735
946	246106	12474
947	246324	12212
948	246596	11953
949	246811	11691
950	247025	11429
951	247273	11168
952	247491	10907
953	247715	10646
954	247959	10385
955	248189	10124
956	248410	9863
957	248628	9602
958	248832	9340
959	249068	9080
960	249289	8819
961	249497	8558
962	249717	8297
963	249958	8038
964	250202	7778
965	250401	7517
966	250621	7256
967	250843	6996
968	251074	6736
969	251235	6475
970	251467	6215
971	251704	5955
972	251933	5696
973	252148	5436
974	252378	5176
975	252602	4917
976	252795	4657
977	253005	4397
978	253210	4138
979	253426	3878
980	253657	3619
981	253869	3360
982	254079	3101
983	254302	2842
984	254500	2583
985	254733	2325
986	254951	2066
987	255187	1808
988	255406	1549
989	255618	1291
990	255833	1032
991	256063	774
992	256313	516
993	256537	258
994	256730	0
